word,pos,synonym
น้ำ,n,คงคา|คงคาลัย|ชล|ชลชาติ|ชลัมพุ|ชลาลัย|โดย|โตย|ทก|นิระ|เนียร|บาน|บานิโยทก|บานีโยทก|ปานะ|วาริ|วารี|สลิล|สินธุ|สินธุ์|สินธู|อัมพุ|อาปะ|อาโป|อุทก
แม่น้ำ,n,ลำน้ำ|สายน้ำ|ท้องน้ำ|ห้วงน้ำ|ทะเล|สมุทร|กระสินธุ|กุนที|คงคา|คงคาลัย|คลอง|แคว|จทึง|ฉทึง|ชทึง|ชรทึง|สทิง|สทึง|สรทึง|ชลธาร|ชลธารก|ชลธิศ|ชลธี|ชลาลัย|ชลาสินธุ์|ชโลทร|ธาร|ธารา|นที|มหรณพ|มหรรณพ|มหารณพ|ยมนา|รัตนากร|ลำธาร|ลำกระโดง|ลำประโดง|ลำห้วย|วหา|วาหินี|สริตะ|สาคร|สาคเรศ|สินธุ|สินธุ์|สินธู|อรรณพ|อุทกธารา|โอฆะ
พระพุทธเจ้า,n,พระสัมมาสัมพุทธเจ้า|พระสัพพัญญู|พระโลกนาถ|พระสุคต|พระผู้มีพระภาคเจ้า|ชินศรี|พระสมณโคดม|พระศากยมุนี|พระธรรมราช|พระชินสีห์|พระทศญาณ|มารชิต|โลกชิต|พระทศพลญาณ|พระตถาคต|พระชินวร
เทวดา,n,เทพ|เทวินทร์|อมร|สุรารักษ์|แมน|เทว|เทวัญ|นิรชรา|เทวา|ไตรทศ|ปรวาณ|สุร
ครุฑ,n,กาศยปิ|เวนไตย|สุบรรณ|ครุตมาน|สิตามัน|รักตปักษ์|เศวตโรหิต|สุวรรณกาย|คคเนศวร|ขเคศวร|นาคนาศนะ|สุเรนทรชิต|นาคานดก|นาคานตกะ|ปันนคนาสน์|วิษณุรถ
นักปราชญ์,n,ธีร์|ธีระ|ปราชญ์|เธียร|บัณฑิต|เมธ|เมธี|เมธา
ยักษ์,n,ยักษา|ยักษี|ยักษิณี|ยักข์|ยักขินี|อสูร|อสุรา|อสุรี|อสุเรศ|กุมภัณฑ์|แทตย์|ทานพ|รากษส|ราพณ์|ราพณาสูร
ดวงอาทิตย์,n,พระอาทิตย์|ตะวัน|ไถง|รวิ|รวี|รพิ|รพี|รำไพ|สุริยะ|สุริยา|สุริยัน|สุริยน|สุริยง|สุรีย์|สุริยมณฑล|สูรยมณฑล|สูรยพิมพ์|อักกะ|ทิพากร|ทิวากร|ทินกร|ภากร|ภาสกร|อาภากร|ประภากร|ภาณุ|ภาณุมาศ|รังสิมันตุ์|รังสิมา|อังศุธร|อังศุมาลี|พันแสง|จาตุรนต์รัศมี|สหัสรังสี|อุษณกร|อุษณรัศมี|อุษณรุจี|อุษณรศมัย
ดวงจันทร์,n,พระจันทร์|เดือน|แข|แถง|บุหลัน|โสม|สุมะ|พิธุ|วิธู|มาส|อินทุ|จันทรพิมพ์|จันทรมณฑล|ศศธร|ศศพินทุ์|ศศลักษณ์|ศศิ|ศศิน|ศศี|ศศิธร|ศศิมณฑล|ตโมหร|มนทกานติ|สีตลรัศมี|สิตางศุ์|โทษากร|นิศากร|นิศานาถ|นิศาบดี|นิศามณี|นิศารัตน์|รัชนีกร|ปักษธร|กัษษากร|ศิวเศขร
แผ่นดิน,n,หล้า|เมธินี|ภูมิ|ภพ|พสุธา|ธาษตรี|ด้าว|โลกธาตุ|ภูวดล|พิภพ|พสุธาดล|ปัถพี|ปฐวี|ปฐพี|ธราดล|ธรณี|ธาษตรี|ภูตลา|พสุนทรา|มหิ|มหิดล|พสุมดี
ท้องฟ้า,n,คคนะ|คคนัมพร|คคนางค์|คคนานต์|ดาราบถ|ทิฆัมพร|ไทวะ|นภดล|นภมณฑล|นภา|นภาลัย|นักษัตรบถ|โพยม|โพยมัน|โพยมาน|ลางงิด|วยัมหะ|เวหน|เวหา|เวหาส|เวหายส|สรวง|สันรวง|สุรบถ|หาว|อัมพร|อากาศ
สวรรค์,n,กระยาหงัน|ไกพัล|ไกวัล|ไตรทิพย์|ไตรทศาลัย|เทวโลก|ไทวะ|เมืองฟ้า|เมืองแมน|เมืองอมร|ลางงิด|วยัมหะ|สรวง|สันรวง|สัค|สัคคะ|สุขาวดี|สุคติ|สุรบถ|สุรโลก|สุราลัย
นรก,n,ทุคติ|นรกานต์|ยมโลก
ป่า,n,ชัฏ|ดง|เถื่อน|ป่าไม้|พง|พงพนา|พงพี|พงไพร|พนัส|พนา|พนาดร|พนาดอน|พนาลัย|พนาวัน|พนาเวศ|พนาสณฑ์|พนาสัณฑ์|ไพร|ไพรวัน|ไพรสณฑ์|ไพรสัณฑ์|ไพรสาณฑ์|วนา|วนาดร|วนาดอน|วนาลัย|วนาสณฑ์|วนาสัณฑ์|อรัญ|อรัญญิก
ไฟ,n,อัคคี|อัคนี|เดช|เดโช|เตช|เตโช|เพลิง|ปาวกะ|ชวาล|ศิขา|สิขา|สิขี
ภูเขา,n,บรรพต|สิงขร|พนม|ไศล|ภู|ศิงขร|ภูผา|ศิขริน|คีรี
ปลา,n,มัจฉา|มัสยา|มัจฉาชาติ|มีน|ตรี|ตฤๅ|ปุถุโลม|ชลาศัย|อัมพุช|วาริช|วารีช|วารีชาติ|ชลจร|นีรจร
เมือง,n,บุรี|ธานินทร์|ราชธานี|ธานี|นคร|นครินทร์|นคเรศ|ประเทศ|บุรินทร์|พารา|กรุง|นครา
ช้าง,n,กุญชร|กรี|กริน|กริณี|กรินี|กิริณี|กิรินี|กรินทร์|กเรนทร|กเรนทร์|กเรณุ|กเรณุกา|คช|คชสาร|คชา|คชาชาติ|คชาธาร|คชินทร์|คเชนทร์|เจ่ง|ดำรี|ดำไร|ดมไร|ทันติน|ทันตี|ทนดี|ทวิป|นรการ|นาค|นาคี|นาคินทร์|นาเคนทร์|นาเคศ|นาเคศวร|พลาย|พัง|พารณ|พารณะ|พาฬ|มาตงค์|มาตังคะ|สาง|สาร|สินธุระ|สีดอ|หัตถี|หัตถินี|หัสดี|หัสดิน|ไอยรา
ม้า,n,ดุรงค์|ตุรงค์|พาชี|มโนมัย|สินธพ|แสะ|หัย|อัศวะ|อัสสะ|อัสดร|อาชา
ลิง,n,กบิล|กบี่|กบินทร์|กเบนทร์|กระบี่|กปิ|จ๋อ|พลีมุข|วอก|วานร|พานร|วานรินทร์|พานรินทร์|พานเรศ|มักฏะ|สวา|ชรโมล
นก,n,สกุณ|สกุณา|สกุณี|สกุนต์|ศกุน|ศกุนต์|ศกุนิ|ปักษิน|ปักษี|ปักษา|บุหรง|วิหค|วิหงค์|เวหังค์|สุโนก|สรุโนก|ทวิช|ทิชากร|ทวิชาชาติ
